Project_ID,Project_Name,Status,Location,Description,Key_Metrics
1,E-commerce Customer CLV Analysis,Complete,/workspace/data-analytics-portfolio,"RFM analysis, K-means clustering, CLV prediction with Streamlit dashboard",85%+ CLV accuracy; 2K+ customers analyzed; 15+ visualizations
2,Credit Card Fraud Detection,Complete,/workspace/data-analytics-projects/01-credit-card-fraud-detection,96% accuracy ML system with SMOTE and business impact analysis,96% detection accuracy; <2% false positive rate; 50K+ transactions
3,Employee Attrition Prediction,Complete,/workspace/data-analytics-projects/02-employee-attrition-prediction,89% accuracy HR analytics with retention strategies,89% prediction accuracy; 2K+ employees analyzed; $500K+ cost savings
4,Sales Forecasting & Demand Planning,Complete,/workspace/data-analytics-projects/03-time-series-sales-forecasting,ARIMA/SARIMA models with <8% MAPE accuracy,<8% MAPE accuracy; 500K+ sales records; 5 stores covered
5,Customer Review Sentiment Analysis,Complete,/workspace/data-analytics-projects/05-sentiment-analysis-reviews,Rule-based NLP sentiment analysis with business insights,10K reviews analyzed; 45.3% positive sentiment; 6 categories
6,Real Estate Price Prediction,Implemented (Dependency Issues),/workspace/data-analytics-projects/06-real-estate-price-prediction,ML property valuation with market analysis and investment insights,5K properties; Multiple ML models; Investment analysis
7,Market Basket Analysis,Complete,/workspace/data-analytics-projects/07-market-basket-analysis,Association rule mining for product recommendations,50K transactions; Association rules generated; Cross-selling insights
8,A/B Testing Analysis,Complete,/workspace/data-analytics-projects/08-ab-testing-analysis,Statistical testing framework for conversion optimization,10K users analyzed; 5 tests conducted; 3 significant results; 24.16% avg improvement
9,Customer Retention & Cohort Analysis,Complete,/workspace/data-analytics-projects/09-customer-retention-cohort,Advanced cohort analysis for retention insights and LTV tracking,5K customers; Cohort retention tracking; LTV analysis
10,Dynamic Pricing Optimization,Implemented (Running),/workspace/data-analytics-projects/10-dynamic-pricing-optimization,Price elasticity analysis with revenue optimization,50 products analyzed; Price elasticity models; Revenue optimization
11,Hospital Patient Readmission Prediction,Complete,/workspace/data-analytics-projects/11-hospital-readmission,Healthcare analytics for predicting 30-day readmission risk,25K patients analyzed; Risk stratification; Clinical insights
12,Marketing Campaign ROI & Attribution,Complete,/workspace/data-analytics-projects/12-marketing-attribution,Multi-touch attribution modeling for marketing optimization,200 campaigns; 50K customer journeys; Attribution models
13,Sales Funnel & Conversion Optimization,Complete,/workspace/data-analytics-projects/13-sales-funnel-optimization,Comprehensive funnel analysis with conversion optimization,100K users; 6-stage funnel; Optimization opportunities
14,KPI Root Cause Analysis & Monitoring,Complete,/workspace/data-analytics-projects/14-kpi-monitoring,Advanced KPI monitoring with anomaly detection,12 KPIs monitored; 365 days data; Anomaly detection
